x,y
189.669998,294.578613
189.669998,294.578613
189.543900,296.184113
189.076874,297.649384
188.288925,298.970093
187.221359,300.077057
185.821655,301.081970
184.344101,301.822388
180.817245,302.500000
180.817245,302.500000
178.817245,302.502747
176.817245,302.505493
174.817245,302.508240
172.817245,302.510986
170.817261,302.513733
168.817261,302.516510
166.817261,302.519257
164.817261,302.522003
162.817261,302.524750
160.817261,302.527496
158.817261,302.530243
156.817261,302.532990
154.817261,302.535736
152.817276,302.538483
150.817276,302.541229
148.817276,302.543976
146.817276,302.546722
144.817276,302.549469
142.817276,302.552216
140.817276,302.554962
138.817276,302.557709
136.820328,302.559875
134.820709,302.559204
132.820709,302.558533
130.820709,302.557861
128.820709,302.557190
126.820709,302.556519
124.820709,302.555817
122.820709,302.555145
120.820709,302.554474
118.820709,302.553802
116.820709,302.553101
114.820717,302.552429
112.820717,302.551758
110.820717,302.551086
108.820717,302.550415
106.820717,302.549713
104.820717,302.549042
102.820717,302.548370
100.820717,302.547699
98.820717,302.547028
96.820717,302.546326
94.820717,302.545654
92.820717,302.544983
90.820717,302.544312
88.820717,302.543640
86.820717,302.542938
84.820717,302.542267
82.820717,302.541595
80.820717,302.540924
78.820717,302.540253
76.820717,302.539551
74.820717,302.538879
72.820717,302.538208
70.820717,302.537537
68.820717,302.536835
66.820717,302.536163
64.820717,302.535492
62.820717,302.534821
60.820717,302.534149
58.820717,302.533447
56.820717,302.532776
54.820717,302.532104
52.660667,302.531372
52.660667,302.531372
50.660671,302.530670
49.206917,302.364716
47.926758,301.800629
46.878441,300.893890
46.174862,299.730255
45.869377,298.405212
45.859249,295.959808
45.859249,295.959808
45.859074,293.959808
45.858902,291.959808
45.858727,289.959808
45.858555,287.959808
45.858379,285.959808
45.858208,283.959808
45.858032,281.959808
45.857861,279.959808
45.857685,277.959808
45.857513,275.959808
45.857338,273.959808
45.857166,271.959808
45.856991,269.959808
45.856815,267.959808
45.856644,265.959808
45.856468,263.959808
45.856297,261.959808
45.856121,259.959808
45.855949,257.959808
45.855774,255.959824
45.855602,253.959824
45.855427,251.959824
45.855255,249.959824
45.855076,247.899841
45.855076,247.899841
45.854900,245.899841
46.026463,244.435837
46.585705,243.118805
47.479385,242.021759
48.624123,241.268402
49.944859,240.902832
51.714500,240.874954
54.718811,240.876785
54.718811,240.876785
56.718811,240.878006
58.718811,240.879211
60.718811,240.880432
62.718811,240.881638
64.718803,240.882858
66.718803,240.884079
68.718803,240.885284
70.718803,240.886505
72.718803,240.887711
74.718803,240.888931
76.718803,240.890137
78.718803,240.891357
80.718803,240.892578
82.718803,240.893784
84.718803,240.895004
86.718803,240.896210
88.718803,240.897430
90.718803,240.898651
92.718803,240.899857
94.718803,240.901077
96.718803,240.902283
98.718803,240.903503
100.718803,240.904724
102.718803,240.905930
104.718803,240.907150
106.718803,240.908356
108.718803,240.909576
110.718803,240.910797
112.718803,240.912003
114.718803,240.913223
116.718803,240.914429
118.718796,240.915649
120.718796,240.916855
122.718796,240.918076
124.978798,240.919449
124.978798,240.919449
126.978798,240.920654
129.429993,240.667236
131.799789,239.739304
133.841812,238.179276
135.347992,236.001648
136.067490,233.453537
136.118866,230.182022
136.118866,230.182022
136.120895,228.182022
136.122925,226.182022
136.124954,224.182022
136.126968,222.182022
136.128998,220.182022
136.131027,218.182022
136.133057,216.182022
136.135086,214.182037
136.137115,212.182037
136.139145,210.182037
136.141159,208.182037
136.143188,206.182037
136.145218,204.182037
136.147247,202.182037
136.150314,199.162048
136.150314,199.162048
136.152344,197.162048
136.320953,195.652878
136.854446,194.262421
137.752594,193.009262
138.777832,192.127167
139.990509,191.677048
141.625320,191.617157
145.099075,191.618744
145.099075,191.618744
147.099075,191.619659
149.099075,191.620575
151.099075,191.621490
153.099075,191.622406
155.099075,191.623322
157.099075,191.624237
159.099075,191.625168
161.099075,191.626083
163.099075,191.626999
165.099075,191.627914
167.099075,191.628830
169.099075,191.629745
171.099075,191.630661
173.099075,191.631577
175.099075,191.632492
177.099075,191.633408
179.099075,191.634323
182.539063,191.635910
182.539063,191.635910
184.539078,191.636826
186.777328,191.562775
189.180374,190.974258
191.490585,189.714737
193.261978,187.310379
193.685043,184.603363
193.684250,181.089539
193.684250,181.089539
193.683792,179.089539
193.683350,177.089539
193.682892,175.089539
193.682434,173.089539
193.681992,171.089539
193.681534,169.089539
193.681091,167.089539
193.680634,165.089539
193.680176,163.089539
193.681549,161.092712
193.684265,159.092712
193.686981,157.092728
193.689697,155.092728
193.692413,153.092728
193.695129,151.092728
193.697845,149.092728
193.700562,147.092728
193.703278,145.092728
193.705994,143.092743
193.708725,141.092743
193.711441,139.092743
193.714157,137.092743
193.716873,135.092743
193.719589,133.092743
193.722305,131.092743
193.725021,129.092743
193.727737,127.092751
193.730453,125.092751
193.733170,123.092758
193.735886,121.092758
193.739990,118.072311
193.739990,118.072311
193.627075,115.798172
193.058472,113.466980
192.034149,111.297066
190.595673,109.376495
188.812927,107.786598
186.759872,106.573524
184.511322,105.779449
181.498642,105.419998
181.498642,105.419998
179.498642,105.421356
177.498642,105.422714
175.498642,105.424072
173.498642,105.425430
171.498642,105.426788
169.498642,105.428146
167.498642,105.429504
165.498642,105.430862
163.498642,105.432220
161.498642,105.433578
159.498642,105.434937
157.498642,105.436295
155.498642,105.437660
153.498642,105.439018
151.498642,105.440376
149.498642,105.441734
147.498642,105.443092
145.498642,105.444450
143.498642,105.445808
141.498642,105.447166
139.498657,105.448524
137.499329,105.449860
135.501373,105.448753
133.501373,105.447395
131.501373,105.446037
129.501373,105.444672
127.501373,105.443314
125.501373,105.441956
123.501373,105.440590
121.501373,105.439232
119.501373,105.437874
117.501373,105.436508
115.501373,105.435150
113.501381,105.433792
111.501381,105.432434
109.501381,105.431068
107.501381,105.429710
105.501381,105.428352
103.501381,105.426987
101.501381,105.425629
99.501381,105.424271
97.501381,105.422905
95.501381,105.421547
93.501389,105.420189
91.501389,105.418831
89.501389,105.417465
87.501389,105.416107
85.501389,105.414749
83.501389,105.413383
81.501389,105.412025
79.501389,105.410667
77.501389,105.409302
75.501389,105.407944
73.501389,105.406586
71.501389,105.405220
69.501389,105.403862
67.501389,105.402504
65.501389,105.401146
63.501392,105.399780
61.501392,105.398422
59.501392,105.397064
57.501392,105.395699
55.501392,105.394341
53.501392,105.392982
51.501400,105.391617
49.498619,105.390747
47.492817,105.395859
45.492832,105.403076
43.492844,105.410301
41.492855,105.417519
39.492870,105.424736
37.492882,105.431961
35.492893,105.439178
33.492908,105.446396
31.492924,105.453621
29.492937,105.460838
27.492950,105.468056
25.492962,105.475281
23.492975,105.482498
21.492989,105.489716
19.493002,105.496941
17.493015,105.504158
15.493028,105.511375
13.493039,105.518600
11.493054,105.525818
9.493066,105.533035
7.493077,105.540260
4.792330,105.550011
4.792330,105.550011
2.439472,105.775093
0.167161,106.425636
-1.948338,107.479805
-3.814839,108.845001
-5.483799,110.681381
-6.660084,112.866341
-7.274117,115.270645
-7.359995,117.555504
-7.359995,117.555504
-7.364491,119.555496
-7.368987,121.555489
-7.373484,123.555489
-7.377980,125.555481
-7.382477,127.555473
-7.386973,129.555466
-7.391470,131.555466
-7.395966,133.555450
-7.400462,135.555450
-7.404959,137.555435
-7.409455,139.555435
