Waypoint(Transform(Location(x=8.426352, y=18.124737, z=0.000000), Rotation(pitch=0.000000, yaw=-27.702684, roll=0.000000)))
Waypoint(Transform(Location(x=10.006085, y=17.196527, z=0.000000), Rotation(pitch=0.000000, yaw=-33.172119, roll=0.000000)))
Waypoint(Transform(Location(x=12.904475, y=14.872517, z=0.000000), Rotation(pitch=0.000000, yaw=-44.275070, roll=0.000000)))
Waypoint(Transform(Location(x=12.904475, y=14.872517, z=0.000000), Rotation(pitch=0.000000, yaw=-44.275070, roll=0.000000)))
Waypoint(Transform(Location(x=15.416033, y=12.149132, z=0.000000), Rotation(pitch=0.000000, yaw=-52.197945, roll=0.000000)))
Waypoint(Transform(Location(x=15.416033, y=12.149133, z=0.000000), Rotation(pitch=0.000000, yaw=-52.197945, roll=0.000000)))
Waypoint(Transform(Location(x=16.468731, y=10.649477, z=0.000000), Rotation(pitch=0.000000, yaw=-57.667381, roll=0.000000)))
Waypoint(Transform(Location(x=17.373697, y=9.056312, z=0.000000), Rotation(pitch=0.000000, yaw=-63.136810, roll=0.000000)))
Waypoint(Transform(Location(x=18.122692, y=7.384145, z=0.000000), Rotation(pitch=0.000000, yaw=-68.606247, roll=0.000000)))
Waypoint(Transform(Location(x=18.708893, y=5.648198, z=0.000000), Rotation(pitch=0.000000, yaw=-74.075676, roll=0.000000)))
Waypoint(Transform(Location(x=19.126965, y=3.864283, z=0.000000), Rotation(pitch=0.000000, yaw=-79.545113, roll=0.000000)))
Waypoint(Transform(Location(x=19.445160, y=0.529402, z=0.000000), Rotation(pitch=0.000000, yaw=-89.554176, roll=0.000000)))
Waypoint(Transform(Location(x=18.987219, y=-12.428474, z=0.000000), Rotation(pitch=0.000000, yaw=-124.348038, roll=0.000000)))
Waypoint(Transform(Location(x=18.987221, y=-12.428475, z=0.000000), Rotation(pitch=0.000000, yaw=-124.348038, roll=0.000000)))
Waypoint(Transform(Location(x=17.681051, y=-14.156620, z=0.000000), Rotation(pitch=0.000000, yaw=-129.817474, roll=0.000000)))
Waypoint(Transform(Location(x=16.263536, y=-15.719687, z=0.000000), Rotation(pitch=0.000000, yaw=-133.427582, roll=0.000000)))
Waypoint(Transform(Location(x=14.936937, y=-17.140585, z=0.000000), Rotation(pitch=0.000000, yaw=-131.594528, roll=0.000000)))
Waypoint(Transform(Location(x=13.744166, y=-18.585720, z=0.000000), Rotation(pitch=0.000000, yaw=-127.475830, roll=0.000000)))
Waypoint(Transform(Location(x=12.658272, y=-20.112793, z=0.000000), Rotation(pitch=0.000000, yaw=-123.357147, roll=0.000000)))
Waypoint(Transform(Location(x=11.684858, y=-21.713913, z=0.000000), Rotation(pitch=0.000000, yaw=-119.238441, roll=0.000000)))
Waypoint(Transform(Location(x=10.828959, y=-23.380814, z=0.000000), Rotation(pitch=0.000000, yaw=-115.119759, roll=0.000000)))
Waypoint(Transform(Location(x=10.094988, y=-25.104877, z=0.000000), Rotation(pitch=0.000000, yaw=-111.001060, roll=0.000000)))
Waypoint(Transform(Location(x=9.486741, y=-26.877209, z=0.000000), Rotation(pitch=0.000000, yaw=-106.882362, roll=0.000000)))
Waypoint(Transform(Location(x=8.814189, y=-29.545197, z=0.000000), Rotation(pitch=360.000000, yaw=257.800140, roll=0.000000)))
Waypoint(Transform(Location(x=8.814189, y=-29.545197, z=0.000000), Rotation(pitch=360.000000, yaw=257.800140, roll=0.000000)))
Waypoint(Transform(Location(x=8.396812, y=-31.676245, z=0.000000), Rotation(pitch=360.000000, yaw=-99.962860, roll=0.000000)))
Waypoint(Transform(Location(x=8.396812, y=-31.676245, z=0.000000), Rotation(pitch=360.000000, yaw=-99.962860, roll=0.000000)))
Waypoint(Transform(Location(x=8.094699, y=-33.591465, z=0.000000), Rotation(pitch=360.000000, yaw=-97.965576, roll=0.000000)))
Waypoint(Transform(Location(x=7.859518, y=-35.516045, z=0.000000), Rotation(pitch=360.000000, yaw=-95.968262, roll=0.000000)))
Waypoint(Transform(Location(x=7.691554, y=-37.447655, z=0.000000), Rotation(pitch=360.000000, yaw=-93.970947, roll=0.000000)))
Waypoint(Transform(Location(x=7.591018, y=-39.383942, z=0.000000), Rotation(pitch=360.000000, yaw=-91.973633, roll=0.000000)))
Waypoint(Transform(Location(x=7.578850, y=-42.829926, z=0.000000), Rotation(pitch=360.000000, yaw=-88.586426, roll=0.000000)))
Waypoint(Transform(Location(x=7.578850, y=-42.829926, z=0.000000), Rotation(pitch=360.000000, yaw=-88.586426, roll=0.000000)))
Waypoint(Transform(Location(x=7.603518, y=-43.829620, z=0.000000), Rotation(pitch=360.000000, yaw=-88.586426, roll=0.000000)))
Waypoint(Transform(Location(x=7.628186, y=-44.829311, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=4.425272, y=-56.911999, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=4.425272, y=-56.911999, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=4.474609, y=-58.911388, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=4.523946, y=-60.910782, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=4.573283, y=-62.910172, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=4.622620, y=-64.909561, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=4.671957, y=-66.908958, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
