x,y
-55.058819,0.599585
-53.058846,0.609869
-51.058872,0.620152
-49.058899,0.630436
-47.058926,0.640720
-43.368973,0.659693
-43.368973,0.659693
-42.368988,0.664835
-41.368999,0.669977
-41.368999,0.669977
-39.457340,0.725614
-37.554588,0.880027
-35.662403,1.132892
-33.785873,1.483526
-31.930048,1.930985
-30.099922,2.474072
-28.455614,3.128350
-26.915751,3.993170
-25.504086,5.054433
-24.245510,6.293419
-23.162237,7.688269
-22.241901,9.259434
-21.252131,11.105731
-21.252131,11.105731
-20.138718,12.963923
-20.138718,12.963923
-18.548508,15.074146
-18.548508,15.074146
-17.088158,16.640755
-15.572944,18.099571
-13.886343,19.458958
-12.077852,20.651402
-10.163937,21.666039
-8.162025,22.493631
-6.090347,23.126648
-2.181200,23.763405
-1.006769,20.319054
-1.006769,20.319054
-0.500000,20.325743
-0.380859,20.325375
1.448726,20.226599
3.260567,19.953888
5.038166,19.509726
6.765337,18.898151
8.426352,18.124737
10.006085,17.196527
12.904475,14.872517
12.904475,14.872517
15.416033,12.149132
15.416033,12.149133
16.468731,10.649477
17.373697,9.056312
18.122692,7.384145
18.708893,5.648198
19.126965,3.864283
19.445160,0.529402
18.987219,-12.428474
18.987221,-12.428475
17.681051,-14.156620
16.263536,-15.719687
14.936937,-17.140585
13.744166,-18.585720
12.658272,-20.112793
11.684858,-21.713913
10.828959,-23.380814
10.094988,-25.104877
9.486741,-26.877209
8.814189,-29.545197
8.814189,-29.545197
8.396812,-31.676245
8.396812,-31.676245
8.094699,-33.591465
7.859518,-35.516045
7.691554,-37.447655
7.591018,-39.383942
7.578850,-42.829926
7.578850,-42.829926
7.603518,-43.829620
7.628186,-44.829311
4.425272,-56.911999
4.425272,-56.911999
4.474609,-58.911388
4.523946,-60.910782
4.573283,-62.910172
4.622620,-64.909561
4.671957,-66.908958
4.721293,-68.908348
4.770630,-70.907738
4.819967,-72.907127
4.869304,-74.906517
4.918641,-76.905907
4.967978,-78.905304
5.017314,-80.904694
5.066651,-82.904091
5.115988,-84.903481
5.165325,-86.902870
5.214662,-88.902260
5.263999,-90.901649
5.313335,-92.901039
5.362672,-94.900429
5.412009,-96.899826
5.461346,-98.899216
5.510683,-100.898613
5.560020,-102.898003
5.609357,-104.897392
5.658693,-106.896782
5.708030,-108.896172
5.757367,-110.895561
5.806704,-112.894958
5.856041,-114.894348
5.905378,-116.893738
5.954714,-118.893127
6.004052,-120.892525
6.076330,-123.821632
6.076330,-123.821632
6.125667,-125.821030
5.998896,-128.143295
5.336068,-130.450165
4.161096,-132.543106
2.536808,-134.310196
0.550060,-135.656982
-1.428718,-136.548340
-3.440973,-137.266815
-5.503325,-137.825470
-7.603102,-138.220856
-9.727399,-138.450531
-13.361156,-138.558578
-13.361156,-138.558578
-15.360697,-138.601410
-17.360237,-138.644257
-19.359779,-138.687088
-21.359320,-138.729919
-23.358862,-138.772766
-25.358404,-138.815598
-27.357943,-138.858429
-29.357485,-138.901276
-31.357027,-138.944107
-33.356567,-138.986938
-35.356106,-139.029770
-37.355648,-139.072617
-39.355190,-139.115448
-41.354729,-139.158279
-43.354271,-139.201126
-45.353813,-139.243958
-47.353352,-139.286789
-49.352894,-139.329636
-51.352436,-139.372467
-53.351978,-139.415298
-55.351517,-139.458145
-57.351059,-139.500977
-59.350601,-139.543808
-61.350143,-139.586655
-65.079285,-139.666550
-65.079285,-139.666550
-67.078827,-139.709381
-68.789940,-139.826828
-70.273148,-140.299194
-71.592537,-141.125168
-72.665413,-142.252991
-73.545364,-143.697662
-74.161568,-145.274017
-74.494751,-146.933395
-74.539406,-148.688828
-74.476700,-150.781693
-74.476700,-150.781693
-74.409302,-152.759537
-74.333984,-154.737106
-74.250732,-156.714371
-74.159599,-158.691254
-74.060547,-160.667770
-73.953621,-162.643875
-73.840073,-164.635376
-73.725983,-166.632111
-73.611893,-168.628860
-73.497803,-170.625595
-73.383713,-172.622345
-73.270317,-174.605865
-73.115097,-176.212540
-72.842438,-177.803528
-72.453804,-179.370209
-71.951294,-180.904175
-71.337601,-182.397141
-70.616058,-183.841064
-69.790535,-185.228165
-68.865471,-186.550964
-67.845879,-187.802353
-66.737228,-188.975571
-65.545502,-190.064301
-64.277130,-191.062668
-62.938919,-191.965317
-61.538113,-192.767380
-60.082245,-193.464493
-58.579159,-194.052948
-57.036949,-194.529556
-55.463943,-194.891754
-53.868599,-195.137573
-52.259521,-195.265701
-50.616276,-195.275085
-48.616905,-195.224838
-46.617538,-195.174591
-44.618168,-195.124344
-42.618801,-195.074097
-40.619434,-195.023865
-38.620064,-194.973618
-36.620693,-194.923370
-34.621326,-194.873123
-32.621956,-194.822876
-30.622585,-194.772629
-28.623217,-194.722397
-26.623848,-194.672150
-24.624479,-194.621902
-22.625111,-194.571655
-20.625742,-194.521408
-18.626373,-194.471176
-16.627005,-194.420929
-14.627637,-194.370682
-12.238391,-194.310623
-12.238391,-194.310623
-10.239022,-194.260376
-8.545746,-194.111984
-7.008558,-193.627747
-5.614135,-192.819672
-4.439576,-191.734390
-3.565273,-190.423691
-3.028143,-188.942535
-2.859073,-187.376083
-2.931982,-184.402298
-2.931982,-184.402298
-2.981319,-182.402893
-3.030656,-180.403503
-3.079993,-178.404114
-3.129330,-176.404724
-3.178666,-174.405334
-3.228004,-172.405945
-3.277340,-170.406555
-3.326677,-168.407166
-3.376014,-166.407776
-3.425351,-164.408386
-3.474688,-162.408981
-3.524024,-160.409592
-3.573361,-158.410202
-3.622698,-156.410812
-3.672035,-154.411423
-3.721372,-152.412033
-3.801050,-149.183014
-3.801050,-149.183014
-3.850388,-147.183624
-3.899724,-145.184235
-3.949061,-143.184845
-3.998398,-141.185455
-4.047735,-139.186050
-4.097072,-137.186661
-4.146409,-135.187271
-4.195745,-133.187881
-4.245082,-131.188492
-4.294419,-129.189102
-4.343756,-127.189697
-4.420475,-124.080650
-4.420475,-124.080650
-4.469811,-122.081253
-4.519148,-120.081863
-4.568485,-118.082474
-4.617822,-116.083084
-4.667159,-114.083694
-4.716496,-112.084297
-4.765833,-110.084908
-4.815169,-108.085518
-4.864506,-106.086128
-4.913843,-104.086739
-4.963180,-102.087341
-5.012517,-100.087952
-5.061854,-98.088562
-5.111191,-96.089165
-5.160527,-94.089775
-5.209865,-92.090385
-5.259201,-90.090996
-5.308538,-88.091606
-5.357875,-86.092216
-5.407212,-84.092819
-5.456549,-82.093430
