-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.100,  0.247
-183.798, 80.187, 0.210,  0.280
-183.795, 80.177, 0.322,  0.313
-183.791, 80.162, 0.454,  0.346
-183.785, 80.144, 0.546,  0.379
-183.775, 80.121, 0.726,  0.412
-183.761, 80.093, 0.885,  0.445
-183.742, 80.059, 1.033,  0.478
-183.718, 80.022, 1.168,  0.511
-183.692, 79.980, 1.354,  0.544
-183.664, 79.931, 1.557,  0.577
-183.634, 79.877, 1.743,  0.610
-183.604, 79.818, 1.878,  0.643
-183.575, 79.757, 1.963,  0.676
-183.546, 79.695, 2.011,  0.709
-183.517, 79.632, 2.031,  0.742
-183.488, 79.569, 2.030,  0.775
-183.460, 79.507, 2.013,  0.808
-183.433, 79.447, 1.984,  0.841
-183.406, 79.387, 1.947,  0.874
-183.380, 79.329, 1.905,  0.907
-183.354, 79.272, 1.857,  0.940
-183.330, 79.217, 1.807,  0.973
-183.305, 79.163, 1.755,  1.006
-183.282, 79.111, 1.703,  1.039
-183.260, 79.060, 1.650,  1.072
-183.238, 79.011, 1.597,  1.105
-183.217, 78.965, 1.517,  1.138
-183.197, 78.920, 1.459,  1.171
-183.178, 78.877, 1.417,  1.204
-183.159, 78.834, 1.396,  1.237
-183.141, 78.791, 1.399,  1.270
-183.122, 78.747, 1.429,  1.303
-183.103, 78.701, 1.483,  1.336
-183.083, 78.653, 1.551,  1.369
-183.064, 78.603, 1.618,  1.402
-183.044, 78.550, 1.671,  1.435
-183.024, 78.497, 1.702,  1.468
-183.004, 78.443, 1.711,  1.501
-182.985, 78.389, 1.721,  1.534
-182.966, 78.335, 1.714,  1.567
-182.948, 78.282, 1.683,  1.600
-182.930, 78.230, 1.647,  1.633
-182.913, 78.179, 1.606,  1.666
-182.897, 78.129, 1.574,  1.699
-182.881, 78.080, 1.555,  1.732
